buySellRatio,sellVol,buyVol,timestamp
0.9761,7133.277,6962.476,2025-10-12 22:00:00+00:00
0.7074,4324.438,3059.246,2025-10-12 23:00:00+00:00
0.956,5852.918,5595.236,2025-10-13 00:00:00+00:00
0.9412,4169.937,3924.763,2025-10-13 01:00:00+00:00
0.8206,4297.663,3526.73,2025-10-13 02:00:00+00:00
0.7669,3853.728,2955.509,2025-10-13 03:00:00+00:00
1.0466,4315.083,4516.015,2025-10-13 04:00:00+00:00
1.1859,2025.74,2402.403,2025-10-13 05:00:00+00:00
1.3258,2952.3,3914.261,2025-10-13 06:00:00+00:00
1.0131,3565.937,3612.64,2025-10-13 07:00:00+00:00
0.9706,2431.925,2360.338,2025-10-13 08:00:00+00:00
0.846,2988.685,2528.534,2025-10-13 09:00:00+00:00
0.8642,2409.295,2082.131,2025-10-13 10:00:00+00:00
0.7779,8664.104,6740.064,2025-10-13 11:00:00+00:00
1.1395,3802.79,4333.356,2025-10-13 12:00:00+00:00
0.9645,9759.795,9413.288,2025-10-13 13:00:00+00:00
0.8086,8949.175,7235.887,2025-10-13 14:00:00+00:00
0.9938,4573.679,4545.379,2025-10-13 15:00:00+00:00
1.0902,5488.578,5983.844,2025-10-13 16:00:00+00:00
0.9435,4212.434,3974.271,2025-10-13 17:00:00+00:00
0.9868,5076.92,5010.154,2025-10-13 18:00:00+00:00
1.2129,4228.436,5128.699,2025-10-13 19:00:00+00:00
1.0689,2024.004,2163.518,2025-10-13 20:00:00+00:00
1.0021,1064.348,1066.626,2025-10-13 21:00:00+00:00
0.8357,1523.239,1273.034,2025-10-13 22:00:00+00:00
0.6513,3149.126,2050.95,2025-10-13 23:00:00+00:00
0.8809,3052.732,2689.09,2025-10-14 00:00:00+00:00
0.7958,3511.333,2794.381,2025-10-14 01:00:00+00:00
0.9878,4262.081,4210.063,2025-10-14 02:00:00+00:00
1.0125,5746.756,5818.337,2025-10-14 03:00:00+00:00
0.9095,7209.158,6556.478,2025-10-14 04:00:00+00:00
0.9181,11556.333,10610.174,2025-10-14 05:00:00+00:00
0.8966,9162.805,8215.452,2025-10-14 06:00:00+00:00
0.9872,6640.031,6554.896,2025-10-14 07:00:00+00:00
1.1383,4249.799,4837.482,2025-10-14 08:00:00+00:00
0.8328,5316.445,4427.692,2025-10-14 09:00:00+00:00
0.9742,7834.309,7632.061,2025-10-14 10:00:00+00:00
0.9423,5513.709,5195.779,2025-10-14 11:00:00+00:00
0.6815,3629.1,2473.382,2025-10-14 12:00:00+00:00
1.1848,8497.871,10068.177,2025-10-14 13:00:00+00:00
0.982,7531.286,7395.413,2025-10-14 14:00:00+00:00
1.1824,6119.362,7235.363,2025-10-14 15:00:00+00:00
0.741,9879.635,7320.88,2025-10-14 16:00:00+00:00
0.6806,8534.24,5808.565,2025-10-14 17:00:00+00:00
1.0373,4054.211,4205.575,2025-10-14 18:00:00+00:00
0.8343,6263.294,5225.76,2025-10-14 19:00:00+00:00
1.047,1707.777,1788.1,2025-10-14 20:00:00+00:00
1.0278,1066.179,1095.804,2025-10-14 21:00:00+00:00
1.1059,2032.703,2247.96,2025-10-14 22:00:00+00:00
0.7445,1540.05,1146.57,2025-10-14 23:00:00+00:00
0.9175,2617.609,2401.593,2025-10-15 00:00:00+00:00
0.9334,2373.839,2215.854,2025-10-15 01:00:00+00:00
1.1357,2457.254,2790.795,2025-10-15 02:00:00+00:00
0.7597,3184.358,2419.143,2025-10-15 03:00:00+00:00
1.2461,1635.483,2038.043,2025-10-15 04:00:00+00:00
1.0685,1524.679,1629.051,2025-10-15 05:00:00+00:00
1.0614,1756.998,1864.855,2025-10-15 06:00:00+00:00
1.0395,1246.443,1295.725,2025-10-15 07:00:00+00:00
1.0645,3709.287,3948.426,2025-10-15 08:00:00+00:00
0.918,2535.382,2327.477,2025-10-15 09:00:00+00:00
0.5758,3537.369,2036.684,2025-10-15 10:00:00+00:00
0.7402,4549.839,3367.923,2025-10-15 11:00:00+00:00
0.8179,3510.396,2870.996,2025-10-15 12:00:00+00:00
0.9177,5532.954,5077.778,2025-10-15 13:00:00+00:00
1.0785,5446.319,5873.694,2025-10-15 14:00:00+00:00
1.2227,5413.882,6619.729,2025-10-15 15:00:00+00:00
0.8635,2866.524,2475.218,2025-10-15 16:00:00+00:00
1.1234,3306.028,3713.927,2025-10-15 17:00:00+00:00
1.1304,1687.749,1907.904,2025-10-15 18:00:00+00:00
1.0823,1474.829,1596.201,2025-10-15 19:00:00+00:00
0.8189,2451.004,2007.045,2025-10-15 20:00:00+00:00
0.9023,2220.408,2003.401,2025-10-15 21:00:00+00:00
1.0028,1427.845,1431.808,2025-10-15 22:00:00+00:00
1.135,943.266,1070.639,2025-10-15 23:00:00+00:00
1.2764,1405.633,1794.203,2025-10-16 00:00:00+00:00
1.1809,1802.076,2127.987,2025-10-16 01:00:00+00:00
0.9808,1999.402,1961.025,2025-10-16 02:00:00+00:00
0.9531,2145.869,2045.3,2025-10-16 03:00:00+00:00
0.8767,2122.989,1861.243,2025-10-16 04:00:00+00:00
1.0802,1876.852,2027.411,2025-10-16 05:00:00+00:00
1.1012,2021.807,2226.37,2025-10-16 06:00:00+00:00
0.8099,4347.809,3521.438,2025-10-16 07:00:00+00:00
1.2935,1984.158,2566.596,2025-10-16 08:00:00+00:00
0.8931,10759.209,9608.715,2025-10-16 09:00:00+00:00
1.2836,2787.134,3577.647,2025-10-16 10:00:00+00:00
0.8906,2493.075,2220.281,2025-10-16 11:00:00+00:00
1.2431,3383.947,4206.686,2025-10-16 12:00:00+00:00
0.8038,4046.049,3252.15,2025-10-16 13:00:00+00:00
0.8196,9561.656,7836.918,2025-10-16 14:00:00+00:00
0.7315,13971.738,10219.936,2025-10-16 15:00:00+00:00
0.9564,12035.995,11511.538,2025-10-16 16:00:00+00:00
0.9349,5700.113,5329.083,2025-10-16 17:00:00+00:00
1.1178,4434.038,4956.339,2025-10-16 18:00:00+00:00
0.9265,3726.279,3452.46,2025-10-16 19:00:00+00:00
0.8779,3427.554,3009.057,2025-10-16 20:00:00+00:00
0.9504,1835.407,1744.284,2025-10-16 21:00:00+00:00
0.9148,1321.787,1209.206,2025-10-16 22:00:00+00:00
1.3184,1297.987,1711.262,2025-10-16 23:00:00+00:00
1.622,1634.921,2651.841,2025-10-17 00:00:00+00:00
0.9334,2271.275,2120.049,2025-10-17 01:00:00+00:00
1.1586,1715.011,1987.069,2025-10-17 02:00:00+00:00
0.9704,1368.025,1327.468,2025-10-17 03:00:00+00:00
0.8117,1746.402,1417.586,2025-10-17 04:00:00+00:00
0.7335,2205.278,1617.654,2025-10-17 05:00:00+00:00
0.7305,10709.118,7823.305,2025-10-17 06:00:00+00:00
0.7756,12141.273,9417.147,2025-10-17 07:00:00+00:00
0.9271,13489.254,12505.715,2025-10-17 08:00:00+00:00
1.0446,4904.969,5123.685,2025-10-17 09:00:00+00:00
1.0538,10055.774,10596.928,2025-10-17 10:00:00+00:00
1.2193,13219.919,16119.25,2025-10-17 11:00:00+00:00
1.1539,5027.2,5800.952,2025-10-17 12:00:00+00:00
0.8775,7796.964,6841.895,2025-10-17 13:00:00+00:00
0.8192,9461.46,7751.033,2025-10-17 14:00:00+00:00
1.1132,7234.16,8053.155,2025-10-17 15:00:00+00:00
0.9604,6871.692,6599.316,2025-10-17 16:00:00+00:00
1.1388,2103.958,2395.955,2025-10-17 17:00:00+00:00
1.1362,2155.484,2449.079,2025-10-17 18:00:00+00:00
0.8792,1742.058,1531.544,2025-10-17 19:00:00+00:00
1.0369,1547.54,1604.595,2025-10-17 20:00:00+00:00
1.0017,1825.982,1829.15,2025-10-17 21:00:00+00:00
0.6995,1584.784,1108.624,2025-10-17 22:00:00+00:00
0.5871,1372.937,806.037,2025-10-17 23:00:00+00:00
1.2483,1452.951,1813.708,2025-10-18 00:00:00+00:00
1.0488,1452.592,1523.433,2025-10-18 01:00:00+00:00
0.4685,4170.965,1954.02,2025-10-18 02:00:00+00:00
1.431,1389.411,1988.286,2025-10-18 03:00:00+00:00
0.3777,5007.661,1891.206,2025-10-18 04:00:00+00:00
0.5895,1669.026,983.841,2025-10-18 05:00:00+00:00
1.0677,1269.439,1355.425,2025-10-18 06:00:00+00:00
0.9891,3755.401,3714.538,2025-10-18 07:00:00+00:00
1.1994,2064.804,2476.59,2025-10-18 08:00:00+00:00
1.0144,870.072,882.577,2025-10-18 09:00:00+00:00
1.1312,967.325,1094.22,2025-10-18 10:00:00+00:00
1.4993,844.253,1265.82,2025-10-18 11:00:00+00:00
0.8947,1285.368,1149.986,2025-10-18 12:00:00+00:00
0.9041,1218.887,1102.001,2025-10-18 13:00:00+00:00
0.9805,1301.861,1276.464,2025-10-18 14:00:00+00:00
1.1645,961.211,1119.34,2025-10-18 15:00:00+00:00
0.7905,2303.846,1821.24,2025-10-18 16:00:00+00:00
1.1676,798.798,932.687,2025-10-18 17:00:00+00:00
0.8229,416.98,343.144,2025-10-18 18:00:00+00:00
1.3259,548.126,726.772,2025-10-18 19:00:00+00:00
1.107,1317.357,1458.285,2025-10-18 20:00:00+00:00
1.2826,553.233,709.583,2025-10-18 21:00:00+00:00
0.8611,491.598,423.326,2025-10-18 22:00:00+00:00
1.1189,399.403,446.873,2025-10-18 23:00:00+00:00
0.7464,2123.157,1584.667,2025-10-19 00:00:00+00:00
0.8636,672.712,580.982,2025-10-19 01:00:00+00:00
0.7133,672.325,479.552,2025-10-19 02:00:00+00:00
1.2214,1630.385,1991.388,2025-10-19 03:00:00+00:00
1.0105,854.349,863.315,2025-10-19 04:00:00+00:00
1.0839,1010.376,1095.147,2025-10-19 05:00:00+00:00
0.9268,1490.521,1381.489,2025-10-19 06:00:00+00:00
0.9359,757.001,708.481,2025-10-19 07:00:00+00:00
0.8512,4718.934,4016.648,2025-10-19 08:00:00+00:00
1.3994,9634.125,13481.992,2025-10-19 09:00:00+00:00
1.0276,3248.266,3337.926,2025-10-19 10:00:00+00:00
0.6,4688.253,2812.885,2025-10-19 11:00:00+00:00
1.1147,1769.912,1972.912,2025-10-19 12:00:00+00:00
1.0909,2369.946,2585.301,2025-10-19 13:00:00+00:00
1.2379,3315.7,4104.64,2025-10-19 14:00:00+00:00
0.7415,2454.522,1819.931,2025-10-19 15:00:00+00:00
1.0462,2671.681,2795.088,2025-10-19 16:00:00+00:00
1.0426,3804.437,3966.539,2025-10-19 17:00:00+00:00
0.9187,1432.514,1316.069,2025-10-19 18:00:00+00:00
0.7304,1966.224,1436.061,2025-10-19 19:00:00+00:00
1.3079,853.963,1116.876,2025-10-19 20:00:00+00:00
0.8064,1021.337,823.559,2025-10-19 21:00:00+00:00
1.1666,1414.202,1649.762,2025-10-19 22:00:00+00:00
0.8197,1954.857,1602.377,2025-10-19 23:00:00+00:00
0.7727,5610.004,4334.575,2025-10-20 00:00:00+00:00
1.0615,2051.607,2177.691,2025-10-20 01:00:00+00:00
1.3155,2272.053,2988.908,2025-10-20 02:00:00+00:00
1.2526,5159.202,6462.421,2025-10-20 03:00:00+00:00
0.9528,5049.506,4811.177,2025-10-20 04:00:00+00:00
1.128,3639.729,4105.64,2025-10-20 05:00:00+00:00
0.8462,3470.964,2937.108,2025-10-20 06:00:00+00:00
0.6008,3142.62,1888.168,2025-10-20 07:00:00+00:00
1.0226,3370.774,3447.042,2025-10-20 08:00:00+00:00
0.8054,2808.759,2262.164,2025-10-20 09:00:00+00:00
0.9148,1715.661,1569.44,2025-10-20 10:00:00+00:00
1.3019,1818.794,2367.904,2025-10-20 11:00:00+00:00
0.9045,1811.645,1638.643,2025-10-20 12:00:00+00:00
0.9766,2900.809,2832.846,2025-10-20 13:00:00+00:00
1.0497,2746.669,2883.272,2025-10-20 14:00:00+00:00
0.8704,3904.961,3398.965,2025-10-20 15:00:00+00:00
0.8191,8041.741,6586.985,2025-10-20 16:00:00+00:00
0.9176,4188.067,3842.86,2025-10-20 17:00:00+00:00
1.1871,1536.962,1824.551,2025-10-20 18:00:00+00:00
0.9561,1788.847,1710.249,2025-10-20 19:00:00+00:00
1.0587,1458.262,1543.864,2025-10-20 20:00:00+00:00
0.7455,1588.907,1184.524,2025-10-20 21:00:00+00:00
1.2729,691.256,879.915,2025-10-20 22:00:00+00:00
1.0779,940.2,1013.453,2025-10-20 23:00:00+00:00
0.8523,1628.751,1388.143,2025-10-21 00:00:00+00:00
0.649,3314.936,2151.438,2025-10-21 01:00:00+00:00
1.0916,2514.143,2744.437,2025-10-21 02:00:00+00:00
0.7621,2447.847,1865.469,2025-10-21 03:00:00+00:00
0.8601,8222.787,7072.43,2025-10-21 04:00:00+00:00
1.0814,4937.88,5339.642,2025-10-21 05:00:00+00:00
1.4006,2241.65,3139.694,2025-10-21 06:00:00+00:00
0.9918,936.929,929.257,2025-10-21 07:00:00+00:00
0.8141,2551.054,2076.797,2025-10-21 08:00:00+00:00
1.1688,1023.185,1195.908,2025-10-21 09:00:00+00:00
1.619,3550.748,5748.684,2025-10-21 10:00:00+00:00
1.0,2174.998,2174.914,2025-10-21 11:00:00+00:00
0.8974,5735.309,5146.989,2025-10-21 12:00:00+00:00
0.8369,5481.301,4587.527,2025-10-21 13:00:00+00:00
1.32,12727.976,16800.438,2025-10-21 14:00:00+00:00
0.8652,14333.628,12401.561,2025-10-21 15:00:00+00:00
0.7866,11038.273,8682.595,2025-10-21 16:00:00+00:00
1.0163,10041.221,10205.238,2025-10-21 17:00:00+00:00
0.9997,4202.237,4200.936,2025-10-21 18:00:00+00:00
0.9751,1845.175,1799.31,2025-10-21 19:00:00+00:00
0.7802,4474.709,3491.229,2025-10-21 20:00:00+00:00
0.8433,3268.767,2756.553,2025-10-21 21:00:00+00:00
0.7935,9366.349,7432.312,2025-10-21 22:00:00+00:00
0.9609,4595.377,4415.573,2025-10-21 23:00:00+00:00
1.0574,4071.434,4305.318,2025-10-22 00:00:00+00:00
1.1722,2921.902,3424.974,2025-10-22 01:00:00+00:00
1.2468,1749.441,2181.159,2025-10-22 02:00:00+00:00
1.0222,2067.523,2113.426,2025-10-22 03:00:00+00:00
1.325,1675.191,2219.631,2025-10-22 04:00:00+00:00
0.9533,2547.708,2428.715,2025-10-22 05:00:00+00:00
0.9922,1754.12,1740.517,2025-10-22 06:00:00+00:00
1.1045,3584.65,3959.189,2025-10-22 07:00:00+00:00
1.0166,1377.151,1400.02,2025-10-22 08:00:00+00:00
0.8735,2233.433,1950.952,2025-10-22 09:00:00+00:00
0.9752,1629.391,1589.053,2025-10-22 10:00:00+00:00
0.9207,9832.017,9052.68,2025-10-22 11:00:00+00:00
1.4465,3105.673,4492.285,2025-10-22 12:00:00+00:00
1.2514,6487.81,8118.789,2025-10-22 13:00:00+00:00
1.1507,12150.896,13982.272,2025-10-22 14:00:00+00:00
1.0241,6386.351,6539.967,2025-10-22 15:00:00+00:00
0.9413,4951.005,4660.581,2025-10-22 16:00:00+00:00
1.0491,2722.706,2856.275,2025-10-22 17:00:00+00:00
0.847,2585.869,2190.318,2025-10-22 18:00:00+00:00
1.0582,2390.895,2530.143,2025-10-22 19:00:00+00:00
0.9385,2291.015,2150.12,2025-10-22 20:00:00+00:00
0.8321,5197.941,4325.402,2025-10-22 21:00:00+00:00
0.8824,2665.279,2351.776,2025-10-22 22:00:00+00:00
1.1629,2183.112,2538.648,2025-10-22 23:00:00+00:00
0.9253,1630.861,1509.008,2025-10-23 00:00:00+00:00
1.4286,3210.386,4586.466,2025-10-23 01:00:00+00:00
0.9931,1318.498,1309.378,2025-10-23 02:00:00+00:00
0.8469,2033.994,1722.639,2025-10-23 03:00:00+00:00
1.1486,1378.857,1583.711,2025-10-23 04:00:00+00:00
0.7273,1632.447,1187.329,2025-10-23 05:00:00+00:00
1.1936,6135.04,7322.701,2025-10-23 06:00:00+00:00
0.6979,4382.112,3058.11,2025-10-23 07:00:00+00:00
0.9654,2422.541,2338.665,2025-10-23 08:00:00+00:00
0.8163,1794.23,1464.544,2025-10-23 09:00:00+00:00
0.8419,1476.607,1243.087,2025-10-23 10:00:00+00:00
0.934,1794.396,1675.97,2025-10-23 11:00:00+00:00
0.7037,4161.355,2928.31,2025-10-23 12:00:00+00:00
1.1736,3204.389,3760.66,2025-10-23 13:00:00+00:00
0.8515,4956.132,4220.066,2025-10-23 14:00:00+00:00
1.0605,3541.808,3756.012,2025-10-23 15:00:00+00:00
1.1026,2807.326,3095.36,2025-10-23 16:00:00+00:00
1.0668,5510.349,5878.601,2025-10-23 17:00:00+00:00
0.7913,3843.167,3041.118,2025-10-23 18:00:00+00:00
0.8094,1601.97,1296.655,2025-10-23 19:00:00+00:00
0.668,3988.184,2664.082,2025-10-23 20:00:00+00:00
0.9655,1546.219,1492.939,2025-10-23 21:00:00+00:00
1.475,1328.098,1959.002,2025-10-23 22:00:00+00:00
1.183,869.676,1028.812,2025-10-23 23:00:00+00:00
1.1788,2417.839,2850.061,2025-10-24 00:00:00+00:00
0.8704,1800.999,1567.618,2025-10-24 01:00:00+00:00
0.9805,1339.262,1313.14,2025-10-24 02:00:00+00:00
0.5486,1373.982,753.829,2025-10-24 03:00:00+00:00
1.3212,2994.987,3957.113,2025-10-24 04:00:00+00:00
1.2268,1993.322,2445.42,2025-10-24 05:00:00+00:00
1.0045,1401.738,1408.108,2025-10-24 06:00:00+00:00
0.7479,3208.324,2399.456,2025-10-24 07:00:00+00:00
0.8537,2486.76,2122.99,2025-10-24 08:00:00+00:00
1.0103,1613.791,1630.366,2025-10-24 09:00:00+00:00
1.0508,1379.009,1449.102,2025-10-24 10:00:00+00:00
0.7115,2746.114,1953.778,2025-10-24 11:00:00+00:00
1.0662,6910.439,7367.721,2025-10-24 12:00:00+00:00
0.789,5203.298,4105.492,2025-10-24 13:00:00+00:00
0.9375,7515.204,7045.316,2025-10-24 14:00:00+00:00
1.0475,2919.025,3057.643,2025-10-24 15:00:00+00:00
