model_kind,order,trend,val_rmse
ar_only,"(2, 0, 1)",n,0.0055410552267079185
ar_only,"(3, 0, 1)",n,0.005541059763063463
ar_only,"(3, 0, 0)",n,0.005541059763529173
ar_only,"(2, 0, 2)",n,0.005541059775987676
ar_only,"(3, 0, 2)",n,0.0055410599129482405
ar_only,"(1, 0, 2)",n,0.005541060213934697
ar_only,"(0, 0, 2)",n,0.005541060314886435
ar_only,"(2, 0, 0)",n,0.00554106035060146
ar_only,"(1, 0, 1)",n,0.005541060448256421
ar_only,"(1, 0, 0)",n,0.0055410604694038695
ar_only,"(0, 0, 1)",n,0.0055410604825923675
ar_only,"(2, 0, 1)",c,0.005541386802603134
ar_only,"(1, 0, 1)",c,0.005541451789972816
ar_only,"(3, 0, 2)",c,0.005541456646055609
ar_only,"(2, 0, 2)",c,0.0055414611475784045
ar_only,"(3, 0, 0)",c,0.0055415070885859
ar_only,"(2, 0, 0)",c,0.00554150807194051
ar_only,"(1, 0, 0)",c,0.005541508113373766
ar_only,"(0, 0, 2)",c,0.0055415175709452105
ar_only,"(3, 0, 1)",c,0.005541519012642804
ar_only,"(0, 0, 1)",c,0.005541520073415555
ar_only,"(1, 0, 2)",c,0.005541525477290521
arx_exog,"(0, 0, 2)",n,0.005546812188682615
arx_exog,"(1, 0, 2)",n,0.005546814083833269
arx_exog,"(3, 0, 0)",n,0.0055468148318211
arx_exog,"(2, 0, 0)",n,0.005546820327403983
arx_exog,"(1, 0, 0)",n,0.005546824862054119
arx_exog,"(2, 0, 2)",n,0.005546825672426237
arx_exog,"(3, 0, 2)",n,0.005546825766710973
arx_exog,"(3, 0, 1)",n,0.0055468347485407845
arx_exog,"(1, 0, 1)",n,0.005546834796441948
arx_exog,"(0, 0, 1)",n,0.005546838336792076
arx_exog,"(1, 0, 1)",c,0.005547549154079477
arx_exog,"(3, 0, 0)",c,0.005547614327539594
arx_exog,"(2, 0, 0)",c,0.00554761680864368
arx_exog,"(1, 0, 0)",c,0.0055476203476874765
arx_exog,"(3, 0, 1)",c,0.005547643074203206
arx_exog,"(0, 0, 2)",c,0.005547645090087482
arx_exog,"(0, 0, 1)",c,0.005547676910100369
arx_exog,"(1, 0, 2)",c,0.005547691967976055
arx_exog,"(2, 0, 2)",c,0.005547814999555122
arx_exog,"(3, 0, 2)",c,0.005548002120677584
arx_exog,"(2, 0, 1)",n,0.005552283506192141
arx_exog,"(2, 0, 1)",c,0.005585305384029983
