model,target_family,split,balanced_accuracy,mcc,roc_auc,trading_coverage,trading_hit_rate,baseline_bal_acc,best_baseline_bal_acc,beats_best_baseline
catboost,direction,val,0.5235908268229612,0.04717824400545293,0.5404955414507003,0.0037002775208140612,0.0,0.5,0.5,True
catboost,direction,test,0.5270336964136766,0.0550463752990498,0.5340336059886708,0.0068248293792655184,0.0,0.5,0.506253903275667,True
catboost,horizon_dir,val,0.5235908268229612,0.04717824400545293,0.5404955414507003,0.0037002775208140612,0.0,0.5,0.5,True
catboost,horizon_dir,test,0.5270336964136766,0.0550463752990498,0.5340336059886708,0.0068248293792655184,0.0,0.5,0.506253903275667,True
catboost,large_move,val,0.6776744043232621,0.30177837842634186,0.7556428492934621,0.4967620075553157,0.5078761542639869,0.5,0.5,True
catboost,large_move,test,0.6744556856474115,0.24455379974005595,0.7455714673991919,0.46695441057458864,0.48642403235124204,0.5,0.5,True
catboost,return_token,val,0.27393890070441584,0.09517120530714047,0.6230652586748763,0.0,,0.2,0.2,True
catboost,return_token,test,0.2726273576912625,0.08832869214842176,0.6137680200492435,0.0,,0.2,0.2,True
catboost,vol_regime,val,0.5796785912504291,0.3767052975758002,0.7703477415015731,0.2577681707646582,0.519916142557652,0.3333333333333333,0.3333333333333333,True
catboost,vol_regime,test,0.5271138517567512,0.26666662546933384,0.7161920863363224,0.20016207455429497,0.5033738191632928,0.3333333333333333,0.3333333333333333,True
logreg,direction,val,0.534150068356054,0.06843205811118479,0.5437064120793554,0.07678075855689177,0.05622489959839357,0.5,0.5,True
logreg,direction,test,0.5054077533949519,0.010957352658511133,0.5063158063755544,0.07247318817029574,0.12556053811659193,0.5,0.506253903275667,False
logreg,horizon_dir,val,0.538415189422728,0.07725816258095151,0.5478195674054598,0.08973172987974098,0.0859106529209622,0.5,0.5,True
logreg,horizon_dir,test,0.5072513248953563,0.01478627524944955,0.5082789586081647,0.08352291192720182,0.1517509727626459,0.5,0.506253903275667,True
logreg,large_move,val,0.5865141275258892,0.24356586245568956,0.7408773869086867,0.8116567728008635,0.49700797872340424,0.5,0.5,True
logreg,large_move,test,0.5289272963323597,0.1373781557856084,0.7264977055807559,0.9088211491772322,0.4888691006233304,0.5,0.5,True
logreg,return_token,val,0.27123019762465433,0.09506767002512546,0.6044047119134746,0.01025364274150027,0.23684210526315788,0.2,0.2,True
logreg,return_token,test,0.2541297549874509,0.06268369438284466,0.5894138943500822,0.0008092797410304828,0.0,0.2,0.2,True
logreg,vol_regime,val,0.4043286462641302,0.18395820386808218,0.6203943863218057,0.2647058823529412,0.05555555555555555,0.3333333333333333,0.3333333333333333,True
logreg,vol_regime,test,0.3886171497584541,0.17932938149918762,0.5336452872854354,0.7142857142857143,0.48,0.3333333333333333,0.3333333333333333,True
