model,target_family,representation,balanced_acc,mcc,roc_auc
catboost,direction,1h_grid,0.527,0.055,0.534
catboost,horizon_dir,1h_grid,0.527,0.055,0.534
catboost,large_move,1h_grid,0.6745,0.2446,0.7456
catboost,large_move,event_dollar,0.6384,0.2704,0.7703
catboost,large_move,event_volume,0.571,0.135,0.6043
catboost,return_token,1h_grid,0.2726,0.0883,0.6138
catboost,vol_regime,1h_grid,0.5315,0.2807,0.7228
catboost,vol_regime,event_dollar,0.4175,0.1972,0.6686
catboost,vol_regime,event_volume,0.3985,0.1842,0.6531
logreg,direction,1h_grid,0.5054,0.011,0.5063
logreg,horizon_dir,1h_grid,0.5073,0.0148,0.5083
logreg,large_move,1h_grid,0.5289,0.1374,0.7265
logreg,large_move,event_dollar,0.5192,0.1431,0.7308
logreg,large_move,event_volume,0.5595,0.1116,0.5871
logreg,return_token,1h_grid,0.2541,0.0627,0.5894
logreg,vol_regime,1h_grid,0.4941,0.229,0.6909
logreg,vol_regime,event_dollar,0.4211,0.1838,0.6591
logreg,vol_regime,event_volume,0.3367,0.036,0.6128
